Dataset,Measurement date,Measurement series,Clone,growth CO2,leaf code,PFD,A,Ci,Ca,Tleaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,499.9,11.64855667,263.6222333,386.7033333,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,1999.6,13.04115333,254.2447333,385.2766667,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,1500.9,11.01894,244.47195,387.62,30.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,999.8,11.31553333,239.0787667,387.2,30.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,749.3,11.1808,241.2340667,387.49,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,499.9,10.29528667,251.0611667,388.42,30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,249.4,7.565517667,283.1636667,391.2,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,100.9,3.899188,329.6191333,395.3466667,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,49.9,2.123724333,353.3341,397.1066667,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,19.7,0.712676,376.1543333,398.75,30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant3-Mature Leaf A,0,-0.408813533,398.9345333,400.0433333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,499.9,10.29501,243.4369667,387.8633333,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,749.3,11.04381333,235.0725,387.1933333,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,999.8,11.66721333,236.7935,386.4133333,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,1498.6,12.20868,242.4843333,385.8033333,30.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,1999.6,12.41078,248.0653333,385.67,30.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,499.9,10.60552667,245.6286,387.7433333,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,249.4,7.794520667,281.2349667,390.7266667,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,99.7,3.686946667,334.5853,395.03,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,49.9,1.727624,361.5662667,397.4,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,19.7,0.2332887,382.6418667,398.76,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant3 -young leaf A ,0,-0.8871718,400.5137333,400.19,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,999.8,19.79101667,262.3941,376.8466667,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,1499.7,20.71506,259.6156333,375.62,30.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,1999.6,21.17997333,261.2015333,375.1,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,749.3,17.20517333,271.6262667,379.7833333,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,999.8,18.80794667,259.8896,377.8633333,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,749.3,17.68619333,264.3245667,379.11,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,499.9,15.21098667,278.7402667,381.58,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,249.4,10.00359733,312.2323667,387.3233333,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,100.9,4.569749333,350.4422333,393.2833333,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,51,2.101044333,368.9716333,396.17,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,19.7,0.4194254,382.8215,398.0866667,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-old,H200,ambient,Plant2-LeafA,0,-0.889569267,395.2956333,399.5466667,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,499.9,12.73637667,259.7340667,385.2233333,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,749.3,12.80237667,241.5968667,385.1133333,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,999.8,13.75383333,246.1416,384.0533333,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,1499.7,15.32012333,245.0564333,382.0766667,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,1999.6,16.43303,249.2850667,380.6833333,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,1499.7,14.55047,239.9828667,382.9166667,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,999.8,13.96002667,244.5936,383.75,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,749.3,13.06002333,247.7476333,384.8166667,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,499.9,11.56684,257.3836667,386.44,29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,249.4,8.247470667,283.8132,390.1533333,29.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,99.7,4.437203333,325.7164,394.39,29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,49.9,2.406320667,345.0063333,396.7833333,29.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,19.7,0.814533733,370.9716667,398.41,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,Mature,H200,ambient,Plant2-Leaf C,0,-0.626898367,399.47,400.0266667,29.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,499.9,9.457271667,259.7217333,389.0266667,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,749.3,9.785499333,262.4107333,388.47,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,999.8,10.07550667,265.0400667,388.0033333,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,1499.7,10.24373667,268.4519667,387.8466667,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,1999.6,10.30103333,272.0616,387.7566667,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,499.9,9.58749,272.4265667,388.7133333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,249.4,7.825110667,289.0349667,390.4666667,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,99.7,4.080916,334.2983667,394.4933333,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,49.9,2.063074333,359.6348333,396.6766667,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,19.7,0.509272833,379.6398,398.3433333,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,young leaf,H200,ambient,Plant2 young leaf A,0,-0.544835333,393.8048333,399.69,29.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,499.9,9.128894333,240.9275333,389.5466667,30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,999.8,10.36268333,234.4066333,388.5,30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,1499.7,11.14821333,236.0386667,387.44,30.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,1999.6,11.89644333,242.5167333,386.3966667,30.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,749.3,10.48668667,246.8896,387.8366667,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,499.9,9.637271,256.3306,389.15,30.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,249.4,7.013165,290.6766667,391.77,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,99.7,3.419468333,339.9788333,395.6166667,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,49.9,1.595144,365.6195,397.66,29.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,19.7,0.2565248,386.0865,399.2366667,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf A,0.9,-0.783219667,402.9135667,400.27,29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,499.9,10.33541,240.2370333,388.28,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,749.3,10.74982333,229.0469667,387.71,30.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,999.8,11.30413,231.3275667,387.1366667,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,1499.7,11.68752,235.5769667,386.62,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,1999.6,11.935,238.2535333,386.2366667,30.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,999.8,11.37836667,232.7626333,387.04,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,749.3,11.46928,237.464,387.0233333,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,499.9,10.56857333,248.0457333,387.93,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,249.4,7.603937,275.8993667,391.2,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,99.7,3.820724667,323.6112333,395.4433333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,49.9,1.855867333,353.9976333,397.67,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,19.7,0.2679604,383.3805,399.2766667,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature-young,H200,ambient,Plant4 leaf B,0,-0.937082567,414.7352,400.5333333,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,499.9,13.09046,282.8307667,384.3866667,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,1499.7,15.76751,256.9261,381.4666667,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,1999.6,16.4407,259.8807333,380.67,30.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,999.8,14.10311333,256.5493667,383.57,29.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,1499.7,15.25847333,253.4784333,382.16,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,999.8,14.90773,262.7861667,382.3666667,29.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,749.3,14.21174667,270.5774667,383.1666667,29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,499.9,12.37062,286.1381,385.1166667,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,249.4,8.349159667,314.9587667,389.87,29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,99.7,3.966876,350.1218,394.2733333,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,49.9,1.824148333,368.1144667,396.56,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,19.7,0.349097967,382.5699333,398.32,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCE 2015,July 2012,mature,H200,ambient,Plant1-Leaf A,0,-0.425684767,392.2943,399.5033333,29.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
